SERVICETYPE;Number;Description
SERVICETYPE;01;SD-TV
SERVICETYPE;02;Radio
SERVICETYPE;03;Teletext
SERVICETYPE;07;FM-Radio
SERVICETYPE;10;AAC Radio
SERVICETYPE;12;Data/Test
SERVICETYPE;17;HD-TV
SERVICETYPE;22;SD-TV
SERVICETYPE;25;HD-TV
SERVICETYPE;31;UHD-TV
SERVICETYPE;159;UHD-TV
SERVICETYPE;211;Option

ONID;Start;End;Name;Operator
ONID;0x0000;0x0000;(Reserved);(Reserved)
ONID;0x0001;0x0019;SES/Astra;SES/Astra
ONID;0x001A;0x001A;Quiero Televisión  ;Quiero Televisión  
ONID;0x001B;0x001B;RAI;RAI
ONID;0x001C;0x001C;Hellas-Sat S.A.;Hellas-Sat S.A.
ONID;0x001D;0x001D;TELECOM ITALIA MEDIA BROADCASTING SRL;TELECOM ITALIA MEDIA BROADCASTING SRL
ONID;0x001F;0x001F;Europe Online Networks S.A  ;Europe Online Networks S.A  
ONID;0x0020;0x0020;Société Européenne des Satellites;Société Européenne des Satellites
ONID;0x0021;0x0021;Hispasat S.A .;Hispasat S.A .
ONID;0x0022;0x0022;Hispasat S.A .;Hispasat S.A .
ONID;0x0023;0x0023;Hispasat S.A .;Hispasat S.A .
ONID;0x0024;0x0024;Hispasat S.A .;Hispasat S.A .
ONID;0x0025;0x0025;Hispasat S.A .;Hispasat S.A .
ONID;0x0026;0x0026;Hispasat S.A .;Hispasat S.A .
ONID;0x0027;0x0027;Hispasat FSS;Hispasat FSS
ONID;0x0028;0x0028;Hispasat DBS;Hispasat DBS
ONID;0x0029;0x0029;Hispasat America;Hispasat America
ONID;0x002A;0x002A;Päijät-Hämeen Puhelin Oyj;Päijät-Hämeen Puhelin Oyj
ONID;0x002B;0x002B;Digita Oy;Digita Oy
ONID;0x002E;0x002E;Xantic BU Broadband;Xantic BU Broadband
ONID;0x002F;0x002F;TVNZ  ;TVNZ  
ONID;0x0030;0x0030;Canal+ SA (for Intelsat 601-325°E);Canal+ SA (for Intelsat 601-325°E)
ONID;0x0031;0x0031;Hispasat S.A.;Hispasat S.A.
ONID;0x0032;0x0032;Hispasat S.A.;Hispasat S.A.
ONID;0x0033;0x0033;Hispasat S.A.;Hispasat S.A.
ONID;0x0034;0x0034;Hispasat S.A.;Hispasat S.A.
ONID;0x0035;0x0035;NetHold IMS;NetHold IMS
ONID;0x0036;0x0036;TV Cabo Portugal  ;TV Cabo Portugal  
ONID;0x0037;0x0037;France Telecom, CNES and DGA;France Telecom, CNES and DGA
ONID;0x0038;0x0038;Hellenic Telecommunications Organization S.A .;Hellenic Telecommunications Organization S.A .
ONID;0x0039;0x0039;Broadcast Australia Pty.;Broadcast Australia Pty.
ONID;0x003A;0x003A;GeoTelecom Satellite Services;GeoTelecom Satellite Services
ONID;0x003B;0x003B;BBC;BBC
ONID;0x003C;0x003C;KPN Broadcast Services;KPN Broadcast Services
ONID;0x003D;0x003D;Skylogic Italia S.A.;Skylogic Italia S.A.
ONID;0x003E;0x003E;Eutelsat S.A.;Eutelsat S.A.
ONID;0x003F;0x003F;Eutelsat S.A.;Eutelsat S.A.
ONID;0x0040;0x0040;Hrvatski Telekom d.d;Hrvatski Telekom d.d
ONID;0x0041;0x0041;Mindport  ;Mindport  
ONID;0x0042;0x0042;DTV haber ve Gorsel yayýncilik;DTV haber ve Gorsel yayýncilik
ONID;0x0043;0x0043;arena Sport Rechte und Marketing GmbH;arena Sport Rechte und Marketing GmbH
ONID;0x0044;0x0044;VisionTV LLC;VisionTV LLC
ONID;0x0045;0x0045;SES-Sirius;SES-Sirius
ONID;0x0046;0x0046;Telenor ;Telenor 
ONID;0x0047;0x0047;Telenor;Telenor
ONID;0x0048;0x0048;STAR DIGITAL A.S .;STAR DIGITAL A.S .
ONID;0x0049;0x0049;Sentech  ;Sentech  
ONID;0x004A;0x004B;Rambouillet ES;Rambouillet ES
ONID;0x004C;0x004C;Skylogic S.A.;Skylogic S.A.
ONID;0x004D;0x004D;Skylogic S.A.;Skylogic S.A.
ONID;0x004E;0x004F;Eutelsat S.A.;Eutelsat S.A.
ONID;0x0050;0x0050;HRT – Croatian Radio and Television;HRT – Croatian Radio and Television
ONID;0x0051;0x0051;Havas ;Havas 
ONID;0x0052;0x0052;StarGuide Digital Networks ;StarGuide Digital Networks 
ONID;0x0053;0x0053;PT Comunicações;PT Comunicações
ONID;0x0054;0x0054;Teracom AB Satellite Services;Teracom AB Satellite Services
ONID;0x0055;0x0055;NSAB (Teracom);NSAB (Teracom)
ONID;0x0056;0x0056;Viasat Satellite Services AB;Viasat Satellite Services AB
ONID;0x0058;0x0058;UBC Thailand ;UBC Thailand 
ONID;0x0059;0x0059;Bharat Business Channel Limited;Bharat Business Channel Limited
ONID;0x005A;0x005A;ICO Satellite Services G.P.;ICO Satellite Services G.P.
ONID;0x005B;0x005B;ZON;ZON
ONID;0x005E;0x005E;NSAB ;NSAB 
ONID;0x005F;0x005F;NSAB ;NSAB 
ONID;0x0060;0x0060;Kabel Deutschland ;Kabel Deutschland 
ONID;0x0064;0x0064;T-Kábel;T-Kábel Magyarország Kft.
ONID;0x0065;0x0065;France Telecom Orange;France Telecom Orange
ONID;0x0066;0x0066;Zweites Deutsches Fernsehen - ZDF (cable contribution);Zweites Deutsches Fernsehen - ZDF
ONID;0x0069;0x0069;Optus B3 156°E;Optus Communications
ONID;0x0070;0x0070;BONUM1 36 Degrees East;NTV+
ONID;0x0071;0x0071;Cyfrowy Polsat;Cyfrowy Polsat
ONID;0x0073;0x0073;PanAmSat 4 68.5°E;Pan American Satellite System
ONID;0x007D;0x007D;Skylogic;Skylogic Italia
ONID;0x007E;0x007F;Eutelsat Satellite System at 7°E;EUTELSAT – European Telecommunications Satellite Organization 
ONID;0x0085;0x0085;BetaTechnik;BetaTechnik
ONID;0x0090;0x0090;National network;TDF
ONID;0x009A;0x009B;Eutelsat satellite system at 9°East;Rambouillet ES
ONID;0x009C;0x009D;Eutelsat satellite system at 9°East;Skylogic S.A.
ONID;0x009E;0x009F;Eutelsat satellite system at 9°East;Eutelsat S.A.
ONID;0x00A0;0x00A0;National Cable Network;News Datacom
ONID;0x00A1;0x00A1;DigiSTAR;STAR Television Productions Ltd (HK) (NDS)
ONID;0x00A2;0x00A2;Sky Entertainment Services;NetSat Serviços Ltda (Brazil), Innova S. de R. L. (Mexico) and Multicountry Partnership L. P. (NDS)
ONID;0x00A3;0x00A3;NDS Director systems;Various (product only sold by Tandberg TV) (NDS)
ONID;0x00A4;0x00A4;ISkyB;STAR Television Productions Ltd (HK) (NDS)
ONID;0x00A5;0x00A5;Indovision;PT. Matahari Lintas Cakrawala (MLC) (NDS)
ONID;0x00A6;0x00A6;ART;ART (NDS)
ONID;0x00A7;0x00A7;Globecast;France Telecom (NDS)
ONID;0x00A8;0x00A8;Foxtel;Foxtel (Australia) (NDS)
ONID;0x00A9;0x00A9;Sky New Zealand;Sky Network Television Ltd (NDS)
ONID;0x00AA;0x00AA;OTE;OTE (Greece) (NDS)
ONID;0x00AB;0x00AB;Yes Satellite Services;DBS (Israel) (NDS)
ONID;0x00AC;0x00AC;(NDS satellite services);(NDS to be allocated)
ONID;0x00AD;0x00AD;SkyLife;Korea Digital Broadcasting
ONID;0x00AE;0x00AF;(NDS satellite services);(NDS to be allocated)
ONID;0x00B0;0x00B3;TPS;La Télévision Par Satellite
ONID;0x00B4;0x00B4;Telesat 107.3°W;Telesat Canada
ONID;0x00B5;0x00B5;Telesat 111.1°W;Telesat Canada
ONID;0x00B6;0x00B6;Telstra Saturn;TelstraSaturn Limited  
ONID;0x00BA;0x00BA;Satellite Express – 6 (80°E);Satellite Express 
ONID;0x00C0;0x00CD;Canal +;Canal+
ONID;0x00D0;0x00D0;CCTV;China Central Television (NDS)
ONID;0x00D1;0x00D1;Galaxy;Galaxy Satellite Broadcasting, Hong Kong (NDS)
ONID;0x00D2;0x00DF;(NDS satellite services);(NDS to be allocated)
ONID;0x00EB;0x00EB;Eurovision Network;European Broadcasting Union  
ONID;0x0100;0x0100;ExpressVu;ExpressVu Inc.
ONID;0x0101;0x0101;Bulsatcom AD;Bulsatcom AD
ONID;0x0104;0x0104;MagtiSat;Magticom Ltd.
ONID;0x010D;0x010D;Skylogic;Skylogic Italia
ONID;0x010E;0x010F;Eutelsat Satellite System at 10°E;European Telecommunications Satellite Organization
ONID;0x0110;0x0110;Mediaset;Mediaset 
ONID;0x011F;0x011F;visAvision Network;European Telecommunications Satellite Organization
ONID;0x013D;0x013D;Skylogic;Skylogic Italia
